Date,Adj. Close,next1,next2,next3,next4,label
2010-06-29,23.89,23.83,21.96,19.2,16.11,15.8
2010-06-30,23.83,21.96,19.2,16.11,15.8,17.46
2010-07-01,21.96,19.2,16.11,15.8,17.46,17.4
2010-07-02,19.2,16.11,15.8,17.46,17.4,17.05
2010-07-06,16.11,15.8,17.46,17.4,17.05,18.14
2010-07-07,15.8,17.46,17.4,17.05,18.14,19.84
2010-07-08,17.46,17.4,17.05,18.14,19.84,19.89
2010-07-09,17.4,17.05,18.14,19.84,19.89,20.64
2010-07-12,17.05,18.14,19.84,19.89,20.64,21.91
2010-07-13,18.14,19.84,19.89,20.64,21.91,20.3
2010-07-14,19.84,19.89,20.64,21.91,20.3,20.22
2010-07-15,19.89,20.64,21.91,20.3,20.22,21.0
2010-07-16,20.64,21.91,20.3,20.22,21.0,21.29
2010-07-19,21.91,20.3,20.22,21.0,21.29,20.95
2010-07-20,20.3,20.22,21.0,21.29,20.95,20.55
2010-07-21,20.22,21.0,21.29,20.95,20.55,20.72
2010-07-22,21.0,21.29,20.95,20.55,20.72,20.35
2010-07-23,21.29,20.95,20.55,20.72,20.35,19.94
2010-07-26,20.95,20.55,20.72,20.35,19.94,20.92
2010-07-27,20.55,20.72,20.35,19.94,20.92,21.95
2010-07-28,20.72,20.35,19.94,20.92,21.95,21.26
2010-07-29,20.35,19.94,20.92,21.95,21.26,20.45
2010-07-30,19.94,20.92,21.95,21.26,20.45,19.59
2010-08-02,20.92,21.95,21.26,20.45,19.59,19.6
2010-08-03,21.95,21.26,20.45,19.59,19.6,19.03
2010-08-04,21.26,20.45,19.59,19.6,19.03,17.9
2010-08-05,20.45,19.59,19.6,19.03,17.9,17.6
2010-08-06,19.59,19.6,19.03,17.9,17.6,18.32
2010-08-09,19.6,19.03,17.9,17.6,18.32,18.78
2010-08-10,19.03,17.9,17.6,18.32,18.78,19.15
2010-08-11,17.9,17.6,18.32,18.78,19.15,18.77
2010-08-12,17.6,18.32,18.78,19.15,18.77,18.79
2010-08-13,18.32,18.78,19.15,18.77,18.79,19.1
2010-08-16,18.78,19.15,18.77,18.79,19.1,20.13
2010-08-17,19.15,18.77,18.79,19.1,20.13,19.2
2010-08-18,18.77,18.79,19.1,20.13,19.2,19.9
2010-08-19,18.79,19.1,20.13,19.2,19.9,19.75
2010-08-20,19.1,20.13,19.2,19.9,19.75,19.7
2010-08-23,20.13,19.2,19.9,19.75,19.7,19.87
2010-08-24,19.2,19.9,19.75,19.7,19.87,19.48
2010-08-25,19.9,19.75,19.7,19.87,19.48,20.45
2010-08-26,19.75,19.7,19.87,19.48,20.45,21.06
2010-08-27,19.7,19.87,19.48,20.45,21.06,21.05
2010-08-30,19.87,19.48,20.45,21.06,21.05,20.54
2010-08-31,19.48,20.45,21.06,21.05,20.54,20.9
2010-09-01,20.45,21.06,21.05,20.54,20.9,20.71
2010-09-02,21.06,21.05,20.54,20.9,20.71,20.17
2010-09-03,21.05,20.54,20.9,20.71,20.17,20.72
2010-09-07,20.54,20.9,20.71,20.17,20.72,21.12
2010-09-08,20.9,20.71,20.17,20.72,21.12,21.98
2010-09-09,20.71,20.17,20.72,21.12,21.98,20.94
2010-09-10,20.17,20.72,21.12,21.98,20.94,20.23
2010-09-13,20.72,21.12,21.98,20.94,20.23,21.055
2010-09-14,21.12,21.98,20.94,20.23,21.055,20.77
2010-09-15,21.98,20.94,20.23,21.055,20.77,19.87
2010-09-16,20.94,20.23,21.055,20.77,19.87,19.56
2010-09-17,20.23,21.055,20.77,19.87,19.56,20.1
2010-09-20,21.055,20.77,19.87,19.56,20.1,20.53
2010-09-21,20.77,19.87,19.56,20.1,20.53,21.4
2010-09-22,19.87,19.56,20.1,20.53,21.4,21.98
2010-09-23,19.56,20.1,20.53,21.4,21.98,20.405
2010-09-24,20.1,20.53,21.4,21.98,20.405,20.6
2010-09-27,20.53,21.4,21.98,20.405,20.6,20.99
2010-09-28,21.4,21.98,20.405,20.6,20.99,21.12
2010-09-29,21.98,20.405,20.6,20.99,21.12,20.46
2010-09-30,20.405,20.6,20.99,21.12,20.46,20.43
2010-10-01,20.6,20.99,21.12,20.46,20.43,20.43
2010-10-04,20.99,21.12,20.46,20.43,20.43,20.24
2010-10-05,21.12,20.46,20.43,20.43,20.24,20.24
2010-10-06,20.46,20.43,20.43,20.24,20.24,20.54
2010-10-07,20.43,20.43,20.24,20.24,20.54,20.75
2010-10-08,20.43,20.24,20.24,20.54,20.75,20.54
2010-10-11,20.24,20.24,20.54,20.75,20.54,20.23
2010-10-12,20.24,20.54,20.75,20.54,20.23,20.05
2010-10-13,20.54,20.75,20.54,20.23,20.05,20.65
2010-10-14,20.75,20.54,20.23,20.05,20.65,20.75
2010-10-15,20.54,20.23,20.05,20.65,20.75,20.72
2010-10-18,20.23,20.05,20.65,20.75,20.72,20.85
2010-10-19,20.05,20.65,20.75,20.72,20.85,21.36
2010-10-20,20.65,20.75,20.72,20.85,21.36,21.0
2010-10-21,20.75,20.72,20.85,21.36,21.0,21.19
2010-10-22,20.72,20.85,21.36,21.0,21.19,21.84
